S.No,DstMAC,SrcMAC,SrcAd,DstAd,SrcPort,DstPort,PacketLength
21,1:0:c:cc:cc:cd,34:a8:4e:aa:a5:2b,43690,768,64
22,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
23,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.217.27.206,172.50.33.184,443,50535,134
24,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.217.27.206,172.50.33.184,443,50535,1241
25,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.217.27.206,50535,443,54
26,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.217.27.206,50535,443,100
27,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.217.27.206,172.50.33.184,443,50535,60
28,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
29,33:33:0:1:0:2,34:17:eb:9b:a3:de,fe:80:bf:3d:cd:99:d7:a8,ff:2:2:153
30,d4:be:d9:e8:4c:a7,c8:1f:66:20:e6:12,172.50.33.246,172.50.33.184,60455,9100,66
31,c8:1f:66:20:e6:12,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.33.246,9100,60455,54
32,33:33:0:1:0:2,34:17:eb:bf:5:65,fe:80:f5:53:78:fb:1:d5,ff:2:2:149
33,1:80:c2:0:0:0,50:17:ff:48:b3:fb,16962,768,60
34,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:5c,172.50.33.58,172.50.34.119,,,60
35,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.185,,,60
36,d4:be:d9:e8:4c:a7,c8:1f:66:20:e6:12,172.50.33.246,172.50.33.184,60455,9100,66
37,c8:1f:66:20:e6:12,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.33.246,9100,60455,54
38,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
39,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
40,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
41,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.1,,,60
42,ff:ff:ff:ff:ff:ff,50:9a:4c:43:ad:9,172.50.34.111,172.50.33.82,,,60
43,ff:ff:ff:ff:ff:ff,0:15:5d:38:a5:0,172.50.33.83,172.50.34.0,,,60
44,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
45,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.32.185,,,60
46,ff:ff:ff:ff:ff:ff,0:15:5d:21:d1:1,172.50.32.223,172.50.33.129,,,60
47,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
48,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
49,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.33.169.13,50534,443,100
50,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,13.33.169.13,172.50.33.184,443,50534,60
51,d4:be:d9:e8:4c:a7,c8:1f:66:20:e6:12,172.50.33.246,172.50.33.184,60455,9100,66
52,c8:1f:66:20:e6:12,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.33.246,9100,60455,54
53,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8d:96,192.168.40.92,192.168.40.92,,,60
54,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,13.33.169.13,172.50.33.184,443,50534,100
55,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.33.169.13,50534,443,54
56,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
57,ff:ff:ff:ff:ff:ff,f8:b1:56:dd:fc:a1,172.50.33.105,172.50.34.50,,,60
58,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:61,172.50.33.102,172.50.32.108,,,60
59,ff:ff:ff:ff:ff:ff,ac:18:26:1f:bc:74,172.50.32.165,172.50.33.26,,,60
60,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.33.111,,,60
61,ff:ff:ff:ff:ff:ff,34:17:eb:9b:a2:74,172.50.32.113,172.50.33.5,,,60
62,ff:ff:ff:ff:ff:ff,78:45:c4:27:a2:5a,172.50.33.5,172.50.32.113,,,60
63,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.185,,,60
64,ff:ff:ff:ff:ff:ff,0:15:5d:19:a1:29,172.50.33.215,172.50.33.214,,,60
65,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8b:17,192.168.40.91,192.168.40.91,,,60
66,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
67,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
68,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.52,,,60
69,ff:ff:ff:ff:ff:ff,0:14:5d:fd:b5:38,172.50.34.184,172.50.33.8,,,60
70,ff:ff:ff:ff:ff:ff,0:14:5d:fd:b5:38,172.50.34.184,172.50.33.6,,,60
71,ff:ff:ff:ff:ff:ff,0:15:5d:38:a5:0,172.50.33.83,172.50.34.0,,,60
72,ff:ff:ff:ff:ff:ff,50:9a:4c:43:ad:9,172.50.34.111,172.50.33.82,,,60
73,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
74,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.32.54,,,60
75,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:2a,172.50.34.20,172.50.32.142,,,60
76,1:0:c:cc:cc:cd,34:a8:4e:aa:a5:2b,43690,768,64
77,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.101,,,60
78,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
79,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:29,172.50.34.19,172.50.34.21,,,60
80,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:e2,172.50.34.54,172.50.32.2,,,60
81,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
82,ff:ff:ff:ff:ff:ff,0:15:5d:21:d1:1,172.50.32.223,172.50.33.129,,,60
83,33:33:0:1:0:3,78:45:c4:27:a2:5a,fe:80:59:3:d3:9a:af:7,ff:2:3:88
84,ff:ff:ff:ff:ff:ff,c:c4:7a:fd:b5:e9,172.50.32.81,172.50.32.10,,,60
85,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.32.81,,,60
86,33:33:0:1:0:2,2c:41:38:99:35:c,fe:80:ed:30:38:9:15:f9,ff:2:2:149
87,33:33:0:1:0:3,78:45:c4:27:a2:5a,fe:80:59:3:d3:9a:af:7,ff:2:3:88
88,33:33:0:1:0:2,44:a8:42:3:50:2,fe:80:e7:1c:ba:fb:d4:aa,ff:2:2:150
89,1:80:c2:0:0:0,50:17:ff:48:b3:fb,16962,768,60
90,ff:ff:ff:ff:ff:ff,f8:b1:56:dd:fc:a1,172.50.33.105,172.50.34.50,,,60
91,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
92,33:33:0:1:0:3,8:0:27:f2:8d:e0,fe:80:39:91:88:5a:ab:99,ff:2:3:89
93,33:33:0:1:0:3,8:0:27:f2:8d:e0,fe:80:39:91:88:5a:ab:99,ff:2:3:89
94,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:5,172.50.32.144,172.50.32.173,,,60
95,33:33:0:1:0:2,c:c4:7a:fd:b5:e9,fe:80:1a:4e:66:3d:de:fd,ff:2:2:167
96,ff:ff:ff:ff:ff:ff,5c:ea:1d:15:f3:a7,172.50.33.167,172.50.33.176,,,60
97,ff:ff:ff:ff:ff:ff,f8:b1:56:dd:fc:a1,172.50.33.105,172.50.33.167,,,60
98,ff:ff:ff:ff:ff:ff,78:45:c4:27:a2:5a,172.50.33.5,172.50.34.100,,,60
99,ff:ff:ff:ff:ff:ff,0:15:5d:19:a1:29,172.50.33.215,172.50.33.214,,,60
100,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
101,33:33:0:1:0:3,8:0:27:f2:8d:e0,fe:80:39:91:88:5a:ab:99,ff:2:3:89
102,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.52,,,60
103,ff:ff:ff:ff:ff:ff,8:0:27:f2:8d:e0,172.50.32.173,172.50.32.144,,,60
104,33:33:0:1:0:3,8:0:27:f2:8d:e0,fe:80:39:91:88:5a:ab:99,ff:2:3:89
105,33:33:0:1:0:3,8:0:27:f2:8d:e0,fe:80:39:91:88:5a:ab:99,ff:2:3:89
106,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
107,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:db,172.50.34.101,172.50.33.61,,,60
108,ff:ff:ff:ff:ff:ff,50:9a:4c:43:ad:9,172.50.34.111,172.50.33.82,,,60
109,ff:ff:ff:ff:ff:ff,0:15:5d:38:a5:0,172.50.33.83,172.50.34.0,,,60
110,33:33:0:1:0:2,34:17:eb:9b:a3:65,fe:80:7:d:1f:d8:ad:23,ff:2:2:153
111,ff:ff:ff:ff:ff:ff,98:90:96:a6:9:1,172.50.33.255,172.50.32.10,,,60
112,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.33.255,,,60
113,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
114,ff:ff:ff:ff:ff:ff,f8:bc:12:72:6f:e5,172.50.32.78,172.50.34.180,,,60
115,33:33:0:1:0:2,8:0:27:76:fc:ba,fe:80:b9:65:66:b:e1:11,ff:2:2:157
116,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:2a,172.50.34.20,172.50.32.142,,,60
117,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.101,,,60
118,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
119,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:29,172.50.34.19,172.50.34.21,,,60
120,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.34.125,,,60
121,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
122,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8d:96,192.168.40.92,192.168.40.92,,,60
123,ff:ff:ff:ff:ff:ff,0:15:5d:21:d1:1,172.50.32.223,172.50.33.129,,,60
124,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:e2,172.50.34.54,172.50.33.62,,,60
125,ff:ff:ff:ff:ff:ff,f8:b1:56:dd:fc:a1,172.50.33.105,172.50.34.50,,,60
126,ff:ff:ff:ff:ff:ff,0:15:5d:19:a1:29,172.50.33.215,172.50.33.214,,,60
127,d4:be:d9:e8:4c:a7,c8:1f:66:20:e6:12,172.50.33.246,172.50.33.184,57386,161,120
128,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8b:17,192.168.40.91,192.168.40.91,,,60
129,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
130,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
131,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:db,172.50.34.101,172.50.33.61,,,60
132,ff:ff:ff:ff:ff:ff,f8:bc:12:72:6f:e5,172.50.32.78,172.50.34.180,,,60
133,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.52,,,60
134,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
135,33:33:0:1:0:2,a4:1f:72:8f:d6:bb,fe:80:bb:c2:85:b:f8:d1,ff:2:2:171
136,ff:ff:ff:ff:ff:ff,50:9a:4c:43:ad:9,172.50.34.111,172.50.33.82,,,60
137,33:33:0:1:0:3,0:15:5d:21:96:29,fe:80:da:aa:77:e2:f0:3d,ff:2:3:84
138,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,192.168.56.1,172.50.40.9,50584,389,66
139,ff:ff:ff:ff:ff:ff,0:15:5d:38:a5:0,172.50.33.83,172.50.34.0,,,60
140,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,18.214.210.59,172.50.33.184,443,50542,131
141,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,18.214.210.59,172.50.33.184,443,50542,60
142,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,18.214.210.59,50542,443,54
143,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,18.214.210.59,50542,443,54
144,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,18.214.210.59,172.50.33.184,443,50542,60
145,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
146,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.34.125,,,60
147,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:2a,172.50.34.20,172.50.32.142,,,60
148,1:0:c:cc:cc:cd,34:a8:4e:aa:a5:2b,43690,768,64
149,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.101,,,60
150,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
151,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:29,172.50.34.19,172.50.34.21,,,60
152,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
153,33:33:0:1:0:3,0:15:5d:21:96:29,fe:80:da:aa:77:e2:f0:3d,ff:2:3:84
154,33:33:0:1:0:2,34:17:eb:bf:5:65,fe:80:f5:53:78:fb:1:d5,ff:2:2:149
155,33:33:0:1:0:3,0:15:5d:21:96:29,fe:80:da:aa:77:e2:f0:3d,ff:2:3:84
156,33:33:0:1:0:3,0:15:5d:21:96:29,fe:80:da:aa:77:e2:f0:3d,ff:2:3:84
157,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:e2,172.50.34.54,172.50.33.62,,,60
158,1:80:c2:0:0:0,50:17:ff:48:b3:fb,16962,768,60
159,33:33:0:1:0:3,0:15:5d:21:96:29,fe:80:da:aa:77:e2:f0:3d,ff:2:3:84
160,ff:ff:ff:ff:ff:ff,50:17:ff:48:b9:f,172.50.34.107,172.50.32.2,,,60
161,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
162,ff:ff:ff:ff:ff:ff,98:90:96:b2:17:61,172.50.33.55,255.255.255.255,68,67,342
163,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.33.55,,,60
164,ff:ff:ff:ff:ff:ff,98:90:96:b2:17:61,172.50.33.55,172.50.32.10,,,60
165,33:33:0:1:0:3,0:15:5d:21:96:29,fe:80:da:aa:77:e2:f0:3d,ff:2:3:84
166,33:33:0:1:0:3,0:15:5d:21:96:29,fe:80:da:aa:77:e2:f0:3d,ff:2:3:84
167,33:33:0:1:0:3,0:15:5d:21:96:29,fe:80:da:aa:77:e2:f0:3d,ff:2:3:84
168,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.34.119,,,60
169,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
170,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.185,,,60
171,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.34.24,,,60
172,ff:ff:ff:ff:ff:ff,0:15:5d:21:d1:1,172.50.32.223,172.50.33.129,,,60
173,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:db,172.50.34.101,172.50.33.61,,,60
174,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.1,,,60
175,ff:ff:ff:ff:ff:ff,f8:bc:12:72:6f:e5,172.50.32.78,172.50.34.180,,,60
176,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
177,33:33:0:1:0:2,0:15:5d:38:1:2b,fe:80:78:1d:d9:8e:9e:3a,ff:2:2:157
178,ff:ff:ff:ff:ff:ff,0:15:5d:38:a5:0,172.50.33.83,172.50.34.0,,,60
179,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.33.48,,,60
180,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
181,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.34.125,,,60
182,ff:ff:ff:ff:ff:ff,98:90:96:a8:d:3a,172.50.32.77,255.255.255.255,68,67,342
183,ff:ff:ff:ff:ff:ff,f0:4d:a2:23:bc:72,172.50.32.48,255.255.255.255,67,68,342
184,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,255.255.255.255,67,68,342
185,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.101,,,60
186,ff:ff:ff:ff:ff:ff,b8:ca:3a:86:60:1d,172.50.32.136,172.50.32.10,,,60
187,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
188,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.32.136,,,60
189,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:29,172.50.34.19,172.50.34.21,,,60
190,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
191,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.33.169.52,50524,443,100
192,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,13.33.169.52,172.50.33.184,443,50524,60
193,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8d:96,192.168.40.92,192.168.40.92,,,60
194,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,13.33.169.52,172.50.33.184,443,50524,100
195,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.11,65494,443,155
196,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,13.33.169.52,50524,443,54
197,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.11,172.50.33.184,443,65494,60
198,ff:ff:ff:ff:ff:ff,8:0:27:d9:76:e2,172.50.34.54,172.50.33.62,,,60
199,ff:ff:ff:ff:ff:ff,0:15:5d:22:63:1,172.50.32.141,172.50.33.61,,,60
200,33:33:0:1:0:2,5c:f9:dd:70:2:84,fe:80:2a:60:cb:88:54:ad,ff:2:2:155
201,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.9,50562,49155,54
202,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.9,50561,135,54
203,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.9,172.50.33.184,49155,50562,60
204,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.9,172.50.33.184,49155,50562,60
205,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.9,50562,49155,54
206,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.9,172.50.33.184,135,50561,60
207,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.50.40.9,172.50.33.184,135,50561,60
208,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.40.9,50561,135,54
209,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,65530,97
210,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,103.250.168.200,172.50.33.184,443,50517,97
211,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.34.119,,,60
212,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,65530,443,54
213,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,103.250.168.200,50517,443,54
214,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.185,,,60
215,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8b:17,192.168.40.91,192.168.40.91,,,60
216,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
217,ff:ff:ff:ff:ff:ff,0:15:5d:19:a1:29,172.50.33.215,172.50.33.214,,,60
218,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.1,,,60
219,d4:be:d9:e8:4c:a7,c8:1f:66:20:e6:12,172.50.33.246,172.50.33.184,,,60
220,c8:1f:66:20:e6:12,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.33.246,,,42
221,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
222,ff:ff:ff:ff:ff:ff,0:15:5d:38:a5:0,172.50.33.83,172.50.34.0,,,60
223,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
224,ff:ff:ff:ff:ff:ff,8:0:27:33:ea:d5,172.50.33.29,172.50.32.10,,,60
225,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.33.29,,,60
226,1:0:c:cc:cc:cd,34:a8:4e:aa:a5:2b,43690,768,64
227,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.32.101,,,60
228,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:12,172.50.32.61,172.50.32.130,,,60
229,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:29,172.50.34.19,172.50.34.21,,,60
230,ff:ff:ff:ff:ff:ff,a4:1f:72:7a:26:e6,172.50.34.128,172.50.34.115,,,60
231,ff:ff:ff:ff:ff:ff,0:15:5d:42:d0:3,172.50.33.96,172.50.33.95,,,60
232,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.7,,,60
233,d4:be:d9:e8:4c:a7,c8:1f:66:20:e6:12,172.50.33.246,172.50.33.184,60458,9100,66
234,c8:1f:66:20:e6:12,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.33.246,9100,60458,54
235,ff:ff:ff:ff:ff:ff,d4:ae:52:bc:de:e6,172.50.32.10,172.50.34.132,,,60
236,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.179,,,60
